商談ID,受注日,業界,獲得チャネル,商談金額,担当者,受注
D0001,2026-01-15,小売,紹介,1211000,佐藤,0
D0002,2026-02-05,医療,テレアポ,400000,田中,0
D0003,2026-02-19,IT,紹介,542000,高橋,1
D0004,2026-02-22,IT,紹介,2254000,佐藤,0
D0005,2026-02-04,建設,紹介,1279000,高橋,0
D0006,2026-06-24,金融,Web広告,357000,高橋,1
D0007,2026-01-30,小売,Web広告,292000,田中,0
D0008,2026-05-08,IT,Web広告,352000,鈴木,1
D0009,2026-04-16,金融,メルマガ,632000,田中,0
D0010,2026-04-20,製造,Web広告,411000,田中,0
D0011,2026-02-08,IT,Web広告,335000,高橋,1
D0012,2026-02-25,建設,メルマガ,1236000,高橋,1
D0013,2026-04-20,小売,Web広告,408000,高橋,0
D0014,2026-02-23,医療,Web広告,2213000,高橋,1
D0015,2026-05-05,小売,紹介,471000,佐藤,0
D0016,2026-01-08,医療,テレアポ,1544000,佐藤,0
D0017,2026-01-14,IT,展示会,568000,高橋,0
D0018,2026-05-12,製造,展示会,868000,佐藤,0
D0019,2026-04-22,IT,Web広告,266000,佐藤,0
D0020,2026-01-08,製造,紹介,243000,田中,1
D0021,2026-06-11,金融,紹介,610000,佐藤,0
D0022,2026-01-01,IT,展示会,884000,高橋,0
D0023,2026-06-21,小売,紹介,455000,佐藤,1
D0024,2026-05-12,金融,展示会,180000,鈴木,1
D0025,2026-06-27,金融,Web広告,171000,田中,0
D0026,2026-06-20,IT,テレアポ,163000,田中,0
D0027,2026-02-26,小売,展示会,128000,佐藤,1
D0028,2026-05-17,建設,展示会,478000,佐藤,1
D0029,2026-02-07,医療,Web広告,972000,高橋,0
D0030,2026-03-26,金融,メルマガ,438000,高橋,0
D0031,2026-02-13,建設,テレアポ,91000,鈴木,0
D0032,2026-03-29,金融,テレアポ,387000,高橋,0
D0033,2026-06-07,製造,展示会,395000,佐藤,0
D0034,2026-03-20,小売,展示会,1919000,鈴木,1
D0035,2026-01-17,製造,紹介,160000,高橋,0
D0036,2026-02-28,医療,Web広告,337000,田中,0
D0037,2026-05-22,建設,テレアポ,1460000,佐藤,0
D0038,2026-04-04,小売,メルマガ,606000,高橋,1
D0039,2026-04-11,IT,展示会,656000,佐藤,0
D0040,2026-03-19,製造,紹介,479000,高橋,0
D0041,2026-02-22,建設,展示会,557000,田中,1
D0042,2026-04-18,製造,Web広告,762000,佐藤,0
D0043,2026-04-24,製造,メルマガ,251000,高橋,0
D0044,2026-06-11,製造,メルマガ,818000,佐藤,0
D0045,2026-04-22,製造,メルマガ,169000,高橋,0
D0046,2026-06-29,小売,メルマガ,557000,鈴木,0
D0047,2026-05-29,小売,テレアポ,501000,佐藤,0
D0048,2026-01-15,IT,テレアポ,287000,鈴木,1
D0049,2026-03-12,製造,メルマガ,435000,高橋,0
D0050,2026-03-11,製造,展示会,286000,田中,0
D0051,2026-01-01,IT,紹介,209000,鈴木,1
D0052,2026-02-02,製造,テレアポ,345000,田中,1
D0053,2026-05-18,医療,Web広告,204000,佐藤,0
D0054,2026-03-05,製造,Web広告,555000,田中,0
D0055,2026-01-27,IT,Web広告,198000,鈴木,0
D0056,2026-02-21,IT,展示会,728000,高橋,1
D0057,2026-02-19,IT,メルマガ,193000,鈴木,0
D0058,2026-02-01,製造,Web広告,298000,田中,0
D0059,2026-01-19,製造,紹介,286000,田中,1
D0060,2026-05-18,金融,紹介,1119000,田中,0
D0061,2026-05-29,製造,紹介,557000,高橋,1
D0062,2026-03-31,小売,Web広告,381000,佐藤,0
D0063,2026-04-21,小売,Web広告,627000,高橋,0
D0064,2026-06-15,IT,紹介,101000,田中,1
D0065,2026-06-01,IT,紹介,429000,鈴木,0
D0066,2026-01-06,金融,Web広告,1791000,田中,0
D0067,2026-06-21,金融,テレアポ,485000,鈴木,0
D0068,2026-01-13,IT,展示会,464000,佐藤,0
D0069,2026-01-05,IT,テレアポ,649000,高橋,0
D0070,2026-03-14,製造,展示会,828000,鈴木,1
D0071,2026-05-15,小売,展示会,109000,高橋,0
D0072,2026-01-15,医療,メルマガ,136000,佐藤,0
D0073,2026-02-22,製造,展示会,513000,鈴木,0
D0074,2026-02-17,IT,展示会,268000,高橋,0
D0075,2026-03-13,建設,展示会,1108000,鈴木,0
D0076,2026-06-27,製造,Web広告,355000,田中,1
D0077,2026-03-01,小売,紹介,114000,高橋,0
D0078,2026-02-07,医療,展示会,182000,高橋,1
D0079,2026-01-23,製造,メルマガ,65000,田中,0
D0080,2026-02-05,製造,紹介,376000,高橋,0
D0081,2026-01-24,製造,展示会,388000,高橋,0
D0082,2026-04-14,建設,展示会,329000,高橋,0
D0083,2026-03-17,製造,テレアポ,941000,鈴木,0
D0084,2026-03-31,製造,紹介,1024000,佐藤,0
D0085,2026-05-30,製造,メルマガ,393000,佐藤,0
D0086,2026-04-15,製造,紹介,99000,佐藤,1
D0087,2026-01-28,小売,展示会,682000,佐藤,1
D0088,2026-03-09,製造,Web広告,653000,佐藤,0
D0089,2026-02-26,小売,紹介,549000,佐藤,0
D0090,2026-05-29,小売,Web広告,879000,佐藤,0
D0091,2026-02-25,金融,紹介,196000,佐藤,0
D0092,2026-01-25,製造,メルマガ,1805000,田中,0
D0093,2026-05-13,金融,紹介,226000,田中,0
D0094,2026-03-19,小売,Web広告,747000,高橋,0
D0095,2026-01-18,製造,Web広告,136000,高橋,0
D0096,2026-05-05,金融,Web広告,231000,佐藤,0
D0097,2026-02-07,金融,Web広告,1279000,田中,0
D0098,2026-06-06,IT,紹介,369000,高橋,0
D0099,2026-05-30,建設,展示会,796000,田中,1
D0100,2026-03-08,小売,展示会,522000,鈴木,0
D0101,2026-04-11,小売,展示会,411000,鈴木,0
D0102,2026-04-13,建設,展示会,1149000,田中,1
D0103,2026-04-28,IT,紹介,375000,高橋,1
D0104,2026-01-13,金融,Web広告,127000,佐藤,0
D0105,2026-02-28,IT,テレアポ,252000,鈴木,0
D0106,2026-01-31,金融,展示会,651000,佐藤,1
D0107,2026-05-06,小売,メルマガ,584000,田中,0
D0108,2026-01-13,製造,Web広告,148000,鈴木,0
D0109,2026-04-04,IT,Web広告,266000,佐藤,0
D0110,2026-05-12,IT,テレアポ,294000,鈴木,0
D0111,2026-06-20,製造,テレアポ,343000,高橋,0
D0112,2026-02-21,製造,テレアポ,169000,田中,0
D0113,2026-01-02,IT,展示会,285000,田中,0
D0114,2026-05-11,製造,Web広告,266000,佐藤,0
D0115,2026-01-01,製造,メルマガ,759000,高橋,0
D0116,2026-01-12,医療,Web広告,779000,鈴木,0
D0117,2026-06-28,医療,紹介,399000,田中,1
D0118,2026-06-05,医療,メルマガ,336000,高橋,0
D0119,2026-05-08,IT,メルマガ,488000,鈴木,0
D0120,2026-05-31,金融,紹介,250000,田中,1
D0121,2026-01-14,小売,紹介,198000,佐藤,1
D0122,2026-01-17,製造,展示会,229000,鈴木,0
D0123,2026-02-24,製造,展示会,284000,高橋,1
D0124,2026-01-05,医療,メルマガ,196000,鈴木,0
D0125,2026-06-09,製造,Web広告,496000,佐藤,1
D0126,2026-01-11,小売,Web広告,737000,佐藤,0
D0127,2026-04-08,建設,Web広告,146000,田中,0
D0128,2026-06-03,製造,紹介,450000,鈴木,0
D0129,2026-05-13,製造,紹介,379000,田中,1
D0130,2026-02-12,建設,メルマガ,562000,佐藤,1
D0131,2026-03-26,小売,Web広告,438000,高橋,0
D0132,2026-04-09,製造,Web広告,160000,高橋,0
D0133,2026-05-19,金融,メルマガ,183000,鈴木,0
D0134,2026-03-18,金融,Web広告,452000,鈴木,1
D0135,2026-02-21,小売,メルマガ,909000,佐藤,1
D0136,2026-05-24,小売,メルマガ,94000,佐藤,0
D0137,2026-06-09,IT,展示会,564000,高橋,0
D0138,2026-03-30,製造,展示会,1017000,田中,0
D0139,2026-01-06,小売,Web広告,397000,田中,0
D0140,2026-04-01,IT,テレアポ,650000,鈴木,0
D0141,2026-06-10,医療,メルマガ,270000,鈴木,0
D0142,2026-06-28,金融,展示会,407000,鈴木,0
D0143,2026-03-14,製造,テレアポ,142000,高橋,1
D0144,2026-01-28,小売,Web広告,86000,田中,0
D0145,2026-04-13,製造,Web広告,856000,高橋,0
D0146,2026-05-30,金融,テレアポ,222000,佐藤,0
D0147,2026-06-20,IT,展示会,322000,佐藤,1
D0148,2026-01-10,小売,Web広告,168000,佐藤,0
D0149,2026-02-22,小売,メルマガ,165000,田中,0
D0150,2026-03-27,IT,展示会,392000,佐藤,1
D0151,2026-01-18,医療,メルマガ,265000,田中,0
D0152,2026-06-09,医療,Web広告,576000,佐藤,0
D0153,2026-01-21,小売,展示会,607000,佐藤,1
D0154,2026-04-30,金融,Web広告,554000,佐藤,0
D0155,2026-06-15,建設,Web広告,523000,鈴木,0
D0156,2026-05-04,IT,展示会,1335000,鈴木,0
D0157,2026-05-18,小売,展示会,210000,鈴木,0
D0158,2026-02-17,製造,テレアポ,426000,田中,1
D0159,2026-05-29,金融,Web広告,978000,佐藤,0
D0160,2026-03-17,小売,Web広告,1072000,田中,0
D0161,2026-01-12,IT,展示会,164000,鈴木,1
D0162,2026-03-07,製造,Web広告,356000,佐藤,0
D0163,2026-03-04,金融,Web広告,1145000,田中,0
D0164,2026-04-04,IT,メルマガ,631000,高橋,1
D0165,2026-02-17,医療,Web広告,507000,鈴木,0
D0166,2026-03-25,製造,テレアポ,380000,田中,0
D0167,2026-03-19,建設,テレアポ,338000,佐藤,0
D0168,2026-02-28,製造,展示会,541000,佐藤,0
D0169,2026-05-06,製造,展示会,371000,佐藤,0
D0170,2026-02-24,金融,展示会,429000,高橋,0
D0171,2026-05-18,建設,メルマガ,467000,鈴木,0
D0172,2026-02-15,製造,展示会,275000,高橋,1
D0173,2026-06-05,小売,テレアポ,642000,鈴木,0
D0174,2026-03-07,医療,紹介,3402000,佐藤,1
D0175,2026-01-08,金融,紹介,128000,田中,0
D0176,2026-01-27,IT,メルマガ,555000,佐藤,1
D0177,2026-05-26,小売,テレアポ,260000,鈴木,0
D0178,2026-06-06,医療,展示会,663000,佐藤,0
D0179,2026-02-08,医療,Web広告,457000,高橋,0
D0180,2026-04-19,金融,Web広告,754000,高橋,0
D0181,2026-04-14,小売,テレアポ,1007000,高橋,0
D0182,2026-01-25,製造,メルマガ,506000,田中,0
D0183,2026-03-23,建設,紹介,977000,田中,0
D0184,2026-05-05,金融,展示会,86000,高橋,0
D0185,2026-06-24,金融,テレアポ,1347000,鈴木,0
D0186,2026-06-02,製造,Web広告,575000,田中,0
D0187,2026-01-18,製造,Web広告,941000,鈴木,0
D0188,2026-02-12,医療,テレアポ,188000,高橋,0
D0189,2026-03-20,製造,Web広告,247000,鈴木,0
D0190,2026-01-28,建設,Web広告,490000,田中,0
D0191,2026-04-13,IT,メルマガ,437000,佐藤,0
D0192,2026-01-02,医療,展示会,539000,田中,1
D0193,2026-01-21,金融,Web広告,945000,鈴木,0
D0194,2026-01-09,IT,展示会,129000,田中,1
D0195,2026-02-23,IT,展示会,875000,佐藤,0
D0196,2026-05-18,小売,テレアポ,445000,鈴木,0
D0197,2026-02-01,小売,メルマガ,384000,高橋,0
D0198,2026-06-27,IT,Web広告,158000,鈴木,0
D0199,2026-02-18,小売,Web広告,629000,田中,0
D0200,2026-01-09,建設,Web広告,82000,田中,0
D0201,2026-03-02,小売,メルマガ,697000,田中,0
D0202,2026-05-15,製造,テレアポ,156000,鈴木,0
D0203,2026-01-20,IT,テレアポ,459000,田中,0
D0204,2026-01-13,IT,Web広告,407000,鈴木,0
D0205,2026-06-02,製造,Web広告,1003000,高橋,0
D0206,2026-04-17,製造,Web広告,390000,高橋,0
D0207,2026-03-03,医療,メルマガ,272000,佐藤,0
D0208,2026-05-17,IT,Web広告,310000,高橋,0
D0209,2026-06-01,建設,メルマガ,1078000,高橋,1
D0210,2026-03-06,製造,メルマガ,644000,佐藤,0
D0211,2026-04-12,製造,Web広告,338000,高橋,1
D0212,2026-01-02,金融,Web広告,375000,田中,0
D0213,2026-02-25,金融,Web広告,148000,高橋,0
D0214,2026-04-18,IT,展示会,581000,鈴木,1
D0215,2026-02-05,製造,展示会,129000,佐藤,0
D0216,2026-06-28,製造,紹介,749000,高橋,0
D0217,2026-06-24,小売,Web広告,484000,鈴木,0
D0218,2026-02-16,小売,Web広告,2352000,田中,0
D0219,2026-03-13,IT,メルマガ,205000,鈴木,0
D0220,2026-02-04,製造,紹介,412000,鈴木,0
D0221,2026-04-01,小売,Web広告,1558000,高橋,0
D0222,2026-01-23,建設,紹介,1019000,高橋,1
D0223,2026-03-12,医療,テレアポ,272000,佐藤,0
D0224,2026-04-10,小売,メルマガ,518000,高橋,0
D0225,2026-04-21,製造,メルマガ,443000,鈴木,0
D0226,2026-04-18,IT,展示会,539000,鈴木,0
D0227,2026-02-09,IT,テレアポ,271000,高橋,1
D0228,2026-05-23,金融,Web広告,416000,佐藤,0
D0229,2026-05-05,金融,テレアポ,145000,佐藤,0
D0230,2026-05-16,建設,メルマガ,486000,鈴木,1
D0231,2026-03-26,建設,展示会,606000,佐藤,1
D0232,2026-06-10,建設,展示会,377000,高橋,1
D0233,2026-03-12,建設,メルマガ,143000,鈴木,0
D0234,2026-05-26,製造,メルマガ,884000,田中,1
D0235,2026-02-06,製造,展示会,571000,田中,1
D0236,2026-02-14,IT,紹介,266000,田中,1
D0237,2026-04-05,小売,テレアポ,364000,鈴木,0
D0238,2026-04-11,製造,Web広告,155000,佐藤,0
D0239,2026-05-15,金融,Web広告,216000,高橋,0
D0240,2026-02-23,小売,展示会,304000,田中,1
D0241,2026-06-07,小売,紹介,1045000,高橋,1
D0242,2026-03-01,製造,Web広告,283000,佐藤,1
D0243,2026-04-07,IT,テレアポ,693000,田中,0
D0244,2026-06-17,製造,Web広告,304000,鈴木,0
D0245,2026-04-08,金融,メルマガ,526000,鈴木,0
D0246,2026-05-03,小売,Web広告,401000,高橋,0
D0247,2026-06-13,医療,展示会,815000,高橋,0
D0248,2026-06-25,IT,紹介,304000,高橋,0
D0249,2026-03-31,IT,Web広告,147000,佐藤,0
D0250,2026-03-17,IT,メルマガ,168000,鈴木,0
D0251,2026-02-05,金融,テレアポ,305000,鈴木,0
D0252,2026-04-07,金融,テレアポ,185000,高橋,0
D0253,2026-06-15,製造,テレアポ,590000,田中,0
D0254,2026-03-29,建設,展示会,319000,鈴木,0
D0255,2026-03-04,製造,メルマガ,2332000,田中,0
D0256,2026-01-20,金融,テレアポ,131000,鈴木,0
D0257,2026-03-12,製造,Web広告,510000,鈴木,0
D0258,2026-02-12,IT,展示会,201000,田中,0
D0259,2026-06-25,金融,紹介,313000,鈴木,1
D0260,2026-04-05,製造,Web広告,488000,高橋,0
D0261,2026-01-25,IT,メルマガ,87000,佐藤,0
D0262,2026-01-13,IT,テレアポ,522000,高橋,1
D0263,2026-06-03,製造,メルマガ,1676000,高橋,0
D0264,2026-06-17,医療,Web広告,322000,高橋,1
D0265,2026-05-18,金融,Web広告,531000,鈴木,0
D0266,2026-01-23,金融,Web広告,907000,高橋,0
D0267,2026-01-18,IT,展示会,394000,高橋,0
D0268,2026-02-05,小売,紹介,295000,高橋,0
D0269,2026-05-16,製造,紹介,90000,鈴木,1
D0270,2026-05-18,製造,Web広告,693000,田中,0
D0271,2026-05-31,製造,Web広告,409000,佐藤,0
D0272,2026-01-18,建設,テレアポ,218000,高橋,1
D0273,2026-01-28,金融,展示会,483000,高橋,0
D0274,2026-06-12,金融,メルマガ,294000,佐藤,0
D0275,2026-06-17,小売,Web広告,306000,田中,0
D0276,2026-05-11,小売,メルマガ,676000,鈴木,0
D0277,2026-01-20,小売,展示会,173000,佐藤,0
D0278,2026-01-13,小売,メルマガ,921000,佐藤,0
D0279,2026-01-11,IT,Web広告,166000,鈴木,0
D0280,2026-05-05,製造,メルマガ,278000,鈴木,0
D0281,2026-06-02,製造,展示会,1700000,田中,1
D0282,2026-04-24,建設,Web広告,974000,鈴木,0
D0283,2026-02-17,小売,メルマガ,474000,佐藤,0
D0284,2026-05-17,建設,Web広告,229000,田中,0
D0285,2026-01-11,製造,展示会,305000,高橋,0
D0286,2026-05-30,小売,展示会,466000,田中,1
D0287,2026-06-10,製造,Web広告,454000,佐藤,0
D0288,2026-05-10,IT,展示会,415000,鈴木,0
D0289,2026-06-08,製造,テレアポ,433000,高橋,0
D0290,2026-04-16,製造,Web広告,381000,高橋,0
D0291,2026-03-26,建設,紹介,161000,佐藤,1
D0292,2026-02-28,IT,テレアポ,308000,佐藤,0
D0293,2026-06-15,小売,展示会,839000,佐藤,0
D0294,2026-05-06,小売,メルマガ,170000,佐藤,0
D0295,2026-02-04,IT,テレアポ,387000,田中,0
D0296,2026-06-22,小売,メルマガ,249000,鈴木,0
D0297,2026-01-11,製造,Web広告,478000,田中,0
D0298,2026-04-16,建設,Web広告,337000,鈴木,1
D0299,2026-02-04,金融,展示会,1244000,佐藤,0
D0300,2026-04-30,医療,メルマガ,631000,田中,0
D0301,2026-03-16,小売,テレアポ,177000,田中,0
D0302,2026-03-20,製造,テレアポ,708000,高橋,0
D0303,2026-05-01,建設,展示会,257000,鈴木,1
D0304,2026-05-17,IT,紹介,295000,田中,0
D0305,2026-03-10,製造,Web広告,551000,佐藤,0
D0306,2026-06-29,IT,テレアポ,314000,佐藤,1
D0307,2026-03-31,金融,展示会,827000,高橋,0
D0308,2026-01-29,小売,テレアポ,257000,高橋,0
D0309,2026-01-02,金融,紹介,287000,高橋,1
D0310,2026-02-06,金融,展示会,279000,佐藤,0
D0311,2026-05-05,製造,展示会,298000,鈴木,1
D0312,2026-04-08,建設,紹介,955000,高橋,0
D0313,2026-03-02,IT,展示会,687000,鈴木,1
D0314,2026-03-28,医療,メルマガ,1464000,鈴木,0
D0315,2026-05-31,製造,テレアポ,2164000,高橋,0
D0316,2026-04-13,建設,メルマガ,215000,高橋,0
D0317,2026-01-11,IT,Web広告,465000,鈴木,0
D0318,2026-01-09,製造,Web広告,194000,佐藤,0
D0319,2026-03-28,小売,展示会,257000,高橋,0
D0320,2026-03-14,製造,テレアポ,285000,高橋,0
D0321,2026-06-03,製造,Web広告,211000,田中,1
D0322,2026-04-15,医療,展示会,212000,佐藤,1
D0323,2026-05-17,IT,Web広告,400000,田中,0
D0324,2026-04-16,建設,テレアポ,189000,高橋,0
D0325,2026-03-04,IT,展示会,798000,田中,0
D0326,2026-04-29,医療,テレアポ,233000,高橋,0
D0327,2026-04-22,小売,紹介,3162000,田中,0
D0328,2026-05-10,医療,紹介,323000,鈴木,1
D0329,2026-02-04,小売,テレアポ,465000,田中,1
D0330,2026-04-26,小売,紹介,179000,高橋,0
D0331,2026-02-21,建設,テレアポ,1460000,鈴木,0
D0332,2026-05-23,IT,展示会,969000,佐藤,1
D0333,2026-05-24,製造,紹介,545000,田中,1
D0334,2026-04-23,医療,メルマガ,172000,鈴木,0
D0335,2026-06-20,金融,メルマガ,513000,高橋,0
D0336,2026-04-07,製造,テレアポ,202000,高橋,0
D0337,2026-01-05,IT,テレアポ,1231000,田中,0
D0338,2026-04-20,金融,紹介,780000,鈴木,1
D0339,2026-05-20,医療,Web広告,473000,鈴木,0
D0340,2026-01-19,建設,Web広告,80000,佐藤,1
D0341,2026-01-19,小売,Web広告,222000,佐藤,1
D0342,2026-02-19,医療,Web広告,716000,田中,0
D0343,2026-06-01,IT,Web広告,1034000,高橋,0
D0344,2026-04-05,建設,展示会,962000,田中,0
D0345,2026-06-25,IT,展示会,145000,鈴木,1
D0346,2026-06-07,医療,紹介,546000,高橋,0
D0347,2026-04-10,IT,Web広告,901000,佐藤,0
D0348,2026-05-03,小売,テレアポ,139000,鈴木,0
D0349,2026-03-01,医療,メルマガ,440000,高橋,0
D0350,2026-01-17,小売,展示会,536000,鈴木,1
D0351,2026-03-13,建設,展示会,358000,佐藤,0
D0352,2026-04-17,IT,Web広告,121000,田中,0
D0353,2026-02-02,医療,テレアポ,352000,田中,0
D0354,2026-02-09,IT,Web広告,352000,鈴木,1
D0355,2026-01-03,IT,メルマガ,399000,佐藤,0
D0356,2026-05-13,IT,テレアポ,298000,高橋,0
D0357,2026-06-11,製造,テレアポ,324000,鈴木,0
D0358,2026-05-29,製造,Web広告,430000,高橋,0
D0359,2026-03-10,医療,展示会,603000,佐藤,1
D0360,2026-04-17,医療,展示会,358000,田中,0
D0361,2026-06-22,医療,展示会,332000,佐藤,0
D0362,2026-04-17,製造,展示会,472000,佐藤,1
D0363,2026-02-23,IT,メルマガ,115000,鈴木,0
D0364,2026-03-02,製造,テレアポ,618000,鈴木,0
D0365,2026-05-11,金融,メルマガ,442000,鈴木,0
D0366,2026-03-22,金融,メルマガ,455000,佐藤,0
D0367,2026-05-31,製造,Web広告,867000,佐藤,0
D0368,2026-06-05,医療,紹介,113000,鈴木,0
D0369,2026-01-07,製造,メルマガ,111000,鈴木,0
D0370,2026-05-11,IT,テレアポ,536000,鈴木,0
D0371,2026-03-08,製造,テレアポ,440000,鈴木,1
D0372,2026-04-04,IT,Web広告,498000,鈴木,0
D0373,2026-02-17,医療,展示会,320000,鈴木,0
D0374,2026-03-08,建設,Web広告,704000,佐藤,0
D0375,2026-03-01,製造,Web広告,850000,田中,0
D0376,2026-01-10,小売,テレアポ,621000,佐藤,1
D0377,2026-05-21,医療,Web広告,369000,田中,0
D0378,2026-01-26,建設,紹介,101000,鈴木,1
D0379,2026-03-09,小売,メルマガ,758000,高橋,0
D0380,2026-02-04,IT,展示会,1040000,高橋,0
D0381,2026-01-29,小売,Web広告,695000,佐藤,0
D0382,2026-03-09,IT,メルマガ,239000,佐藤,0
D0383,2026-06-15,建設,メルマガ,709000,田中,0
D0384,2026-06-19,IT,Web広告,808000,鈴木,0
D0385,2026-03-10,医療,Web広告,1317000,佐藤,0
D0386,2026-04-01,製造,紹介,240000,高橋,0
D0387,2026-06-27,IT,展示会,378000,佐藤,0
D0388,2026-02-12,金融,テレアポ,746000,高橋,1
D0389,2026-06-20,小売,展示会,461000,鈴木,0
D0390,2026-01-20,IT,展示会,202000,田中,1
D0391,2026-02-10,建設,Web広告,591000,田中,0
D0392,2026-03-02,金融,メルマガ,663000,佐藤,0
D0393,2026-01-07,IT,メルマガ,471000,佐藤,0
D0394,2026-05-27,小売,Web広告,516000,鈴木,0
D0395,2026-06-03,小売,テレアポ,369000,高橋,0
D0396,2026-03-11,医療,Web広告,1245000,佐藤,0
D0397,2026-05-31,IT,Web広告,236000,鈴木,0
D0398,2026-05-20,製造,Web広告,293000,田中,1
D0399,2026-05-25,建設,展示会,446000,佐藤,0
D0400,2026-05-25,建設,メルマガ,819000,佐藤,0
